pdf_name,prompt_id,prompt_name,coverage_score,numeric_accuracy_score,similarity_score,semantic_similarity_score,source_faithfulness_score,investor_relevance_score,hallucination_penalty,final_score,rank
LOLC_2024.pdf,prompt_08,Beginner Investor Explanation Prompt,0.9388,0.074,0.117,0.117,0.0,1.0,0.25,0.1729,1
LOLC_2024.pdf,prompt_07,Risk-Focused Investor Prompt,0.9388,0.074,0.1089,0.1089,0.0,1.0,0.25,0.1713,2
LOLC_2024.pdf,prompt_09,Few-Shot Prompt,0.9388,0.0799,0.1005,0.1005,0.0,1.0,0.25,0.1708,3
LOLC_2024.pdf,prompt_02,Role-Based Financial Analyst Prompt,0.9388,0.0733,0.1001,0.1001,0.0,1.0,0.25,0.1694,4
LOLC_2024.pdf,prompt_10,Hybrid Best-Practice Prompt,0.9388,0.0798,0.0871,0.0871,0.0,1.0,0.25,0.1681,5
LOLC_2024.pdf,prompt_04,Source-Grounded Evidence Prompt,0.9388,0.074,0.0864,0.0864,0.0,1.0,0.25,0.1668,6
LOLC_2024.pdf,prompt_05,Chain-of-Verification Prompt,0.9388,0.0733,0.0783,0.0783,0.0,1.0,0.25,0.165,7
LOLC_2024.pdf,prompt_01,Basic Extraction Prompt,0.9184,0.0741,0.0958,0.0958,0.0,1.0,0.25,0.1636,8
LOLC_2024.pdf,prompt_06,Ratio-Aware Prompt,0.9592,0.0363,0.0816,0.0816,0.0,1.0,0.25,0.1634,9
LOLC_2024.pdf,prompt_03,JSON Schema-Constrained Prompt,0.898,0.0363,0.1232,0.1232,0.0,1.0,0.25,0.1564,10
