pdf_name,prompt_id,prompt_name,coverage_score,numeric_accuracy_score,similarity_score,semantic_similarity_score,source_faithfulness_score,investor_relevance_score,hallucination_penalty,final_score,rank
JKH_2024.pdf,prompt_10,Hybrid Best-Practice Prompt,0.9804,0.0714,0.0784,0.0784,0.0,1.0,0.25,0.1751,1
JKH_2024.pdf,prompt_02,Role-Based Financial Analyst Prompt,1.0,0.0357,0.0766,0.0766,0.0,1.0,0.25,0.1725,2
JKH_2024.pdf,prompt_07,Risk-Focused Investor Prompt,0.9608,0.0357,0.0804,0.0804,0.0,1.0,0.25,0.1634,3
JKH_2024.pdf,prompt_08,Beginner Investor Explanation Prompt,0.9608,0.0357,0.0684,0.0684,0.0,1.0,0.25,0.161,4
JKH_2024.pdf,prompt_06,Ratio-Aware Prompt,0.9608,0.0357,0.067,0.067,0.0,1.0,0.25,0.1607,5
JKH_2024.pdf,prompt_03,JSON Schema-Constrained Prompt,0.9608,0.0357,0.059,0.059,0.0,1.0,0.25,0.1591,6
JKH_2024.pdf,prompt_01,Basic Extraction Prompt,0.9412,0.0357,0.0753,0.0753,0.0,1.0,0.25,0.1575,7
JKH_2024.pdf,prompt_05,Chain-of-Verification Prompt,0.9412,0.0357,0.0597,0.0597,0.0,1.0,0.25,0.1544,8
JKH_2024.pdf,prompt_09,Few-Shot Prompt,0.902,0.0714,0.0629,0.0629,0.0,1.0,0.25,0.1523,9
JKH_2024.pdf,prompt_04,Source-Grounded Evidence Prompt,0.9216,0.0357,0.0658,0.0658,0.0,1.0,0.25,0.1507,10
